상품이름,할인전가격,할인후가격,할인율,"상품용량
(숫자만)","상품설명
(chatGPT 이용)","카테고리1
(강아지/고양이/공용)
(D/C/Z)","카테고리2
(사료/간식/용품)
(1/2/3)","카테고리3
(주니어/어덜트/시니어/공용)
(j/a/s/z)(임의로 넣기)",auto increment,상품코드,긴 상품 설명,
시저 11세 이상 쇠고기 캔 3개입,6200,6200,0,3,"11세 이상 고양이를 위한 쇠고기 캔 사료로, 노령 고양이의 영양을 지원합니다.",D,2,s,072,D2s072,"시저 11세 이상 쇠고기 캔 3개입은 고령 반려견을 위한 프리미엄 습식 사료입니다. 신선한 쇠고기를 사용하여 부드러운 식감과 풍부한 영양을 제공합니다. 고령 반려견의 소화기 건강을 지원하며, 필수 비타민과 미네랄이 포함되어 있어 전반적인 건강을 유지합니다. 각 캔은 개별 포장되어 있어 신선함을 유지하며, 간편하게 급여할 수 있습니다. 맛과 영양을 모두 갖춘 고령 반려견을 위한 이상적인 선택입니다.",
포켄스 뉴트리션트릿 눈&눈물 240g,18000,12600,0.3,240,강아지의 눈 건강을 돕는 눈&눈물 간식입니다.,D,2,z,073,D2z073,"포켄스 뉴트리션트릿 눈&눈물 240g은 반려견의 눈 건강을 위한 특별한 간식입니다. 고품질 단백질과 필수 비타민, 미네랄이 풍부하게 함유되어 있어 눈물 얼룩을 줄이고 눈 건강을 지원합니다. 소화가 잘 되는 성분들로 구성되어 있어 모든 연령대의 반려견이 안전하게 먹을 수 있습니다. 정기적으로 급여하면 반려견의 눈 건강을 효과적으로 관리할 수 있습니다. 맛과 영양을 동시에 챙길 수 있는 최고의 간식입니다.",
해피밀 황태와 연어 1.2kg,17900,17900,0,1200,"황태와 연어를 사용한 고양이 사료로, 고양이의 건강을 책임집니다.",D,1,z,074,D1z074,"해피밀 황태와 연어 1.2kg은 반려견을 위한 영양가 높은 사료입니다. 신선한 황태와 연어가 주원료로 사용되어 단백질이 풍부하고, 반려견의 근육과 뼈 건강을 지원합니다. 오메가-3와 오메가-6 지방산이 포함되어 있어 피부와 털 건강에도 도움을 줍니다. 균형 잡힌 영양소로 반려견의 전반적인 건강과 활력을 유지합니다. 모든 연령대의 반려견이 안전하게 먹을 수 있는 건강한 사료입니다.",
시저 비프 앤 치킨 캔 3개입,6200,6200,0,3,"비프와 치킨이 들어간 고양이 캔 사료로, 고양이가 좋아할 맛입니다.",D,2,z,075,D2z075,"시저 비프 앤 치킨 캔 3개입은 반려견을 위한 고급 습식 사료입니다. 신선한 비프와 치킨이 주원료로 사용되어 단백질이 풍부하며, 반려견의 근육과 뼈 건강을 지원합니다. 촉촉한 식감과 맛있는 풍미로 까다로운 입맛의 반려견도 만족시킵니다. 각 캔은 개별 포장되어 있어 신선함을 유지하며, 편리하게 급여할 수 있습니다. 주식 또는 간식으로 이상적인 선택입니다.",
포켄스 덴티페어리 M 75g,4800,4800,0,75,"중간 사이즈의 강아지를 위한 치아 관리 간식으로, 입안 청결을 돕습니다.",D,2,z,076,D2z076,"포켄스 덴티페어리 M 75g은 중형 반려견을 위한 덴탈 간식입니다. 특별히 고안된 텍스처가 치아 사이의 플라크와 치석을 효과적으로 제거하여 입냄새를 줄여줍니다. 고품질의 재료로 만들어져 반려견의 구강 건강을 지원하며, 안전하게 먹을 수 있습니다. 중형 반려견이 쉽게 씹을 수 있는 크기와 질감으로 제공되며, 정기적으로 급여하면 반려견의 구강 건강을 효과적으로 관리할 수 있습니다.",
프리스키 파티믹스 믹스그릴 60g,4300,4300,0,60,"다양한 고양이용 그릴 간식으로, 맛있고 영양가 있습니다.",C,2,z,077,C2z077,"프리스키 파티믹스 믹스그릴 60g은 반려묘를 위한 맛있는 간식입니다. 다양한 고기 맛이 혼합되어 있어 까다로운 입맛의 고양이도 만족시킵니다. 바삭한 질감이 반려묘의 씹는 재미를 더해주며, 고단백 저지방으로 건강을 지원합니다. 소형 포장으로 휴대가 간편하며, 훈련 간식이나 특별한 보상 간식으로 이상적입니다. 인공 첨가물 없이 자연 그대로의 맛과 영양을 제공합니다.",
템테이션 헤어볼 컨트롤 60g,4300,4300,0,60,"헤어볼 컨트롤을 돕는 고양이 간식으로, 소화를 촉진시킵니다.",C,2,z,078,C2z078,"템테이션 헤어볼 컨트롤 60g은 반려묘의 헤어볼 문제를 해결해주는 간식입니다. 독특한 포뮬러가 반려묘의 소화기를 지원하여 헤어볼 형성을 줄여줍니다. 고양이들이 좋아하는 맛과 바삭한 식감으로 제공되며, 간식으로 주기에 이상적입니다. 매일 정기적으로 급여하면 반려묘의 헤어볼 문제를 효과적으로 관리할 수 있습니다. 인공 색소와 방부제가 없어 안전하게 먹일 수 있습니다.",
몰리스 쉬야응가 1회용 패드 M 100매,13900,13900,0,100,간편하게 사용할 수 있는 중간 사이즈의 강아지 화장실 패드입니다.,D,3,z,079,D3z079,"몰리스 쉬야응가 1회용 패드 M 100매는 반려견을 위한 실용적인 배변 패드입니다. 강력한 흡수력으로 소변을 빠르게 흡수하고, 누수 방지 설계로 바닥을 깨끗하게 유지합니다. 대형 사이즈로 넉넉한 커버리지를 제공하며, 사용 후 간편하게 폐기할 수 있어 위생적입니다. 패드는 미끄러짐 방지 기능이 있어 반려견이 사용할 때 안정적으로 유지됩니다. 경제적인 대용량 포장으로 장기간 사용하기 좋습니다.",
몰리스 쉬야응가 튀지않는 패드 M 45매,13900,13900,0,45,미끄럼 방지 기능이 있는 중간 사이즈의 강아지 화장실 패드입니다.,D,3,z,080,D3z080,"몰리스 쉬야응가 튀지않는 패드 M 45매는 반려견을 위한 고급 배변 패드입니다. 특수 설계로 소변이 튀지 않도록 제작되어 주변을 깨끗하게 유지합니다. 강력한 흡수력과 누수 방지 기능이 있어 바닥을 보호하며, 빠른 건조로 냄새를 효과적으로 차단합니다. 중형 사이즈로 실내에서 사용하기에 적합하며, 사용 후 간편하게 폐기할 수 있어 위생적입니다. 패드는 미끄러짐 방지 기능이 있어 반려견이 편안하게 사용할 수 있습니다.",
챠오 츄르 하이볼 참치 4개입,3000,3000,0,56,고양이를 위한 참치 맛 츄르 4개,C,2,z,081,C2z081,"고양이를 위한 최고의 간식, 챠오 츄르 하이볼 참치 4개입을 소개합니다! 부드럽고 촉촉한 질감의 참치 맛 츄르는 고양이의 입맛을 사로잡아 더 많은 애정을 나눌 수 있게 도와줍니다. 고단백 저지방의 건강한 간식으로, 비타민 E와 녹차 추출물 등이 함유되어 있어 피부와 모질 건강에도 좋습니다. 개별 포장으로 신선함을 유지하며, 손쉽게 급여할 수 있는 스틱 타입으로 되어 있어 간편하게 사용할 수 있습니다. 챠오 츄르 하이볼 참치로 고양이에게 행복한 순간을 선물하세요!",
슈퍼츄 터키츄 본S 10개입,9900,9900,0,130,작은 크기의 슈퍼츄 터키 츄 본 10개,D,2,z,082,D2z082,"반려견을 위한 최고의 간식, 슈퍼츄 터키츄 본S 10개입을 소개합니다! 자연 그대로의 터키 고기를 사용하여 만든 이 간식은 반려견에게 건강하고 맛있는 즐거움을 선사합니다. 단단한 본 형태로 제작되어 치아 건강을 도와주고, 오랜 시간 씹을 수 있어 스트레스 해소에도 효과적입니다. 소화가 잘 되는 고품질 원료를 사용해 민감한 반려견도 안심하고 먹을 수 있습니다. 개별 포장으로 신선함을 유지하며, 야외 활동 시에도 간편하게 휴대할 수 있습니다. 슈퍼츄 터키츄 본S 10개입으로 반려견에게 특별한 간식을 선물해 보세요!",
건강한간식 순살듬뿍 안심오리 300g,13500,10800,0.2,300,순살 오리로 만든 건강한 간식 300g,D,2,z,083,D2z083,"반려동물에게 건강한 즐거움을 선사하는 건강한간식 순살듬뿍 안심오리 300g을 만나보세요! 신선한 오리 순살로 만들어진 이 간식은 단백질이 풍부하고 저지방이어서 반려동물의 건강을 지켜줍니다. 인공 첨가물 없이 자연 그대로의 맛과 영양을 담아내어 민감한 반려동물도 안심하고 먹을 수 있습니다. 부드러운 식감으로 소화가 잘 되며, 훈련용 간식으로도 적합합니다. 적당한 크기로 간편하게 급여할 수 있어 반려동물에게 행복한 간식 시간을 제공할 수 있습니다. 건강한간식 순살듬뿍 안심오리 300g으로 반려동물의 입맛을 사로잡아 보세요!",
헬씨미요 고양이간식 소고기(100g),5700,5700,0,100,반려동물의 귀를 청소하는 티슈 30매,C,2,z,084,C2z084,"고양이의 입맛을 사로잡을 헬씨미요 고양이간식 소고기(100g)를 소개합니다! 신선한 소고기로 만든 이 간식은 고양이에게 필요한 단백질을 풍부하게 제공하며, 저지방으로 체중 관리에도 도움을 줍니다. 자연 그대로의 맛을 살려 인공 첨가물 없이 건강하게 만들었으며, 민감한 고양이도 안심하고 먹을 수 있습니다. 한 입 크기로 손쉽게 급여할 수 있어 간편하고, 소고기의 풍미가 고양이의 식욕을 자극해 훈련 시에도 효과적입니다. 헬씨미요 고양이간식 소고기 100g으로 사랑하는 고양이에게 특별한 맛과 영양을 선물하세요!",
에티펫 귀깨끗시트 30매,2500,2500,0,30,강아지와 고양이를 위한 베이비파우더 샴푸 550ml,Z,3,z,085,Z3z085,"반려동물의 귀 건강을 위한 최적의 선택, 에티펫 귀깨끗시트 30매를 소개합니다! 이 편리한 시트는 귀 안쪽의 먼지와 불순물을 부드럽게 닦아주어 귀 건강을 유지하는 데 도움을 줍니다. 피부에 자극 없이 사용할 수 있도록 순한 성분으로 만들어졌으며, 알로에 베라와 같은 자연 유래 성분이 함유되어 귀를 촉촉하고 깨끗하게 관리해줍니다. 개별 포장으로 언제 어디서나 간편하게 사용 가능하며, 반려동물의 귀 관리 시간을 더욱 쉽고 즐겁게 만들어 줍니다. 에티펫 귀깨끗시트 30매로 반려동물의 귀를 깨끗하고 건강하게 유지해 보세요!",
에티펫 눈물자국 깨끗시트 (30매),2500,2500,0,30,고양이를 위한 연어 맛 캣얌 40g,Z,3,z,086,Z3z086,"반려동물의 눈가 관리에 최적화된 에티펫 눈물자국 깨끗시트 30매를 소개합니다! 이 시트는 눈물 자국과 눈가 주변의 오염물을 부드럽게 제거하여 반려동물의 얼굴을 깨끗하고 상쾌하게 유지해줍니다. 순한 성분으로 만들어져 피부 자극 없이 사용할 수 있으며, 알로에 베라와 비타민 E가 함유되어 눈가 피부를 촉촉하고 건강하게 보호해줍니다. 개별 포장으로 신선함을 유지하며, 언제 어디서나 간편하게 사용 가능합니다. 에티펫 눈물자국 깨끗시트 30매로 반려동물의 눈가를 항상 청결하게 관리해 보세요!",
명태녹차 100g,9800,9800,0,100,시저 강아지용 쇠고기와 참치 캔 3팩,D,2,z,087,D2z087,"반려동물의 건강과 맛을 동시에 고려한 명태녹차 100g을 소개합니다! 신선한 명태와 녹차의 조합으로 만든 이 간식은 고단백 저지방으로 반려동물의 영양을 균형 있게 채워줍니다. 명태의 풍부한 오메가-3 지방산이 반려동물의 피부와 털 건강을 증진시키며, 녹차의 항산화 성분이 면역력을 강화해줍니다. 자연 그대로의 재료를 사용하여 인공 첨가물 없이 건강하게 만들어졌습니다. 한 입 크기로 쉽게 급여할 수 있어 훈련용으로도 적합하며, 반려동물의 입맛을 사로잡아 줄 것입니다. 명태녹차 100g으로 반려동물에게 건강한 즐거움을 선사하세요!",
포켄스 베이비파우더 샴푸 550ml,8200,8200,0,550,고양이를 위한 소고기 맛 간식 100g,Z,2,z,088,Z2z088,"포켄스 베이비파우더 샴푸 550ml로 반려동물의 목욕 시간을 더욱 즐겁고 상쾌하게 만들어 보세요! 이 샴푸는 부드럽고 순한 베이비파우더 향으로 반려동물의 피부와 털을 깨끗하게 세정해주며, 은은한 향기로 오랫동안 상쾌함을 유지시켜줍니다. 민감한 피부에도 안전하게 사용할 수 있도록 저자극 성분으로 만들어졌으며, 피부와 털을 촉촉하게 보호하는 보습 성분이 함유되어 있습니다. 풍부한 거품과 쉬운 헹굼으로 목욕 시간을 간편하게 해주며, 550ml의 넉넉한 용량으로 오래 사용할 수 있습니다. 포켄스 베이비파우더 샴푸로 반려동물에게 깨끗하고 향기로운 목욕 시간을 선물하세요!",
건강백서 헬씨버거 100g,1980,1980,0,100,반려동물의 눈물 자국을 청소하는 티슈 30매,D,2,z,089,D2z089,"반려동물의 건강과 입맛을 모두 만족시킬 건강백서 헬씨버거 100g을 소개합니다! 신선한 고기와 엄선된 재료로 만들어진 이 간식은 고단백 저지방으로 반려동물의 균형 잡힌 영양 섭취를 도와줍니다. 인공 첨가물 없이 자연 그대로의 맛을 담아 민감한 반려동물도 안심하고 먹을 수 있으며, 씹는 재미를 더해 치아 건강에도 도움을 줍니다. 한입 크기로 손쉽게 급여할 수 있어 훈련용 간식으로도 이상적입니다. 건강백서 헬씨버거 100g으로 반려동물에게 건강하고 맛있는 간식 시간을 선물해 보세요!",
포켄스 덴티페어리 SS 65g,4800,4800,0,65,명태와 녹차가 함께 들어간 간식 100g,D,2,z,090,D2z090,"반려동물의 구강 건강을 위한 최적의 선택, 포켄스 덴티페어리 SS 65g을 소개합니다! 이 간식은 치아와 잇몸을 깨끗하게 유지해주는 특별한 포뮬러로 제작되었습니다. 딱딱한 질감이 치아의 플라크와 타르타르를 자연스럽게 제거하며, 상쾌한 입냄새를 선사합니다. 천연 성분을 사용하여 민감한 반려동물도 안심하고 먹을 수 있으며, 소화가 잘 되는 성분으로 건강에도 좋습니다. 작은 사이즈로 간편하게 급여할 수 있어 훈련 시에도 유용하며, 65g의 적당한 용량으로 신선하게 사용할 수 있습니다. 포켄스 덴티페어리 SS 65g으로 반려동물의 구강 건강을 지켜보세요!",
비타크래프트 캣얌 연어 40g,3000,3000,0,40,반려견을 위한 헬시버거 간식 100g,C,2,z,091,C2z091,"고양이의 입맛을 사로잡는 비타크래프트 캣얌 연어 40g! 신선한 연어를 주원료로 사용하여 부드럽고 맛있는 간식이 됩니다. 풍부한 단백질과 오메가-3 지방산이 고양이의 피부와 털 건강을 지원하며, 자연 그대로의 맛과 영양을 담았습니다. 작은 사이즈로 간편하게 급여할 수 있어 일상적인 간식이나 훈련 보상으로 적합합니다.",
포켄스 덴티페어리 디스펜서 M 46개입,35000,35000,0,46,포켄스 덴탈케어 제품 중 소형견용 65g,D,2,z,092,D2z092,"반려동물의 구강 건강을 간편하게 관리할 수 있는 포켄스 덴티페어리 디스펜서 M 46개입! 이 제품은 치아 청소와 플라크 제거에 효과적인 치실껌으로, 디스펜서가 포함되어 있어 사용이 매우 편리합니다. 치아 건강을 지키면서 상쾌한 입냄새를 유지할 수 있습니다. 반려동물의 건강한 치아를 위해 필수 아이템입니다.",
시저 쇠고기와 참치 캔 3개입,6200,6200,0,300,고양이용 연어 맛 캣얌 40g,D,2,z,093,D2z093,"반려동물의 식사를 더욱 맛있게 해줄 시저 쇠고기와 참치 캔 3개입! 풍부한 쇠고기와 참치의 조화로 고양이의 입맛을 완벽하게 만족시킵니다. 부드러운 텍스처와 높은 수분 함량으로 맛있게 먹을 수 있으며, 필수 영양소가 가득하여 균형 잡힌 식사를 제공합니다. 간편하게 급여할 수 있는 캔 타입으로 더욱 실용적입니다.",
건강백서 건강한 6세+ 2kg,26300,26300,0,2000,중형견을 위한 덴탈케어 디스펜서 46개 포함,D,1,a,094,D1a094,"나이가 많은 반려동물을 위한 건강백서 건강한 6세+ 2kg! 이 사료는 6세 이상의 성숙한 반려동물을 위한 특별한 영양 설계로, 노화에 따라 필요해지는 영양소를 균형 있게 제공합니다. 소화가 잘 되고, 면역력 강화에 도움을 주는 성분이 포함되어 있어 건강한 노후를 지원합니다. 맛있고 건강한 식사로 반려동물의 삶의 질을 향상시켜 보세요.",
쉬바 참치와 연어 70g,1800,1800,0,70,참치와 연어가 들어간 쉬바 파우치 70g,C,1,a,095,C1a095,"쉬바 참치와 연어 70g으로 반려동물에게 특별한 간식을 선물하세요! 신선한 참치와 연어가 조화를 이루는 이 간식은 고양이의 입맛을 사로잡는 부드럽고 맛있는 선택입니다. 자연 식재료로 만들어져 영양이 풍부하고, 인공 첨가물이 없어 건강한 간식으로 안심하고 제공할 수 있습니다.",
몰리스 크런치홀릭 참치 60g,2800,2800,0,60,참치로 만든 크런치홀릭 몰리스 간식 60g,C,2,z,096,C2z096,"몰리스 크런치홀릭 참치 60g은 고양이의 씹는 즐거움을 더해주는 간식입니다. 바삭바삭한 식감이 치아 건강을 도와주며, 참치의 진한 맛으로 고양이의 입맛을 사로잡습니다. 영양가 높은 재료로 만들어져 건강에 좋고, 훈련 보상이나 간식으로 적합합니다.",
비타크래프트 캣스틱 연어 3개입,2200,2200,0,3,고양이용 연어 맛 캣스틱 3개 포함,C,2,z,097,C2z097,"비타크래프트 캣스틱 연어 3개입으로 고양이에게 맛있는 즐거움을 선사하세요! 연어의 풍미를 담은 이 캣스틱은 부드럽고 고소한 맛이 고양이의 식욕을 자극합니다. 간편한 스틱 형태로 언제 어디서나 간식으로 제공할 수 있으며, 건강한 성분으로 안전하게 급여할 수 있습니다.",
치카치카 치실껌SS 20P(120g),11900,11900,0,120,"소형견을 위한 치실껌 20개 포함, 총 120g",D,2,z,098,D2z098,"치카치카 치실껌 SS 20P(120g)는 반려동물의 치아 건강을 위한 필수 간식입니다. 씹는 동안 치아 사이의 플라크와 이물질을 제거해주며, 신선한 입냄새를 유지하는 데 도움을 줍니다. 적당한 크기와 고급 재료로 만들어져 소화도 잘 되며, 튼튼한 치아를 유지하는 데 유용합니다.",
쉬바참치와연어파우치6팩 420g,9900,9900,0,420,"참치와 연어가 들어간 쉬바 파우치 6팩, 총 420g",C,1,a,099,C1a099,"쉬바 참치와 연어 파우치 6팩 420g은 고양이를 위한 완벽한 식사 솔루션입니다. 신선한 참치와 연어가 풍부하게 담겨 있어 맛과 영양을 동시에 제공합니다. 파우치 형태로 간편하게 급여할 수 있으며, 수분이 풍부하여 고양이의 수분 섭취를 돕습니다. 매일의 식사에 신선함을 더해 보세요.",
닥터할리펫밀크시니어,2000,2000,0,200,노화된 반려견을 위한 닥터할리 펫밀크,D,2,s,100,D2s100,"닥터할리펫 밀크 시니어는 나이가 많은 반려동물을 위한 특별한 밀크입니다. 노화에 따른 영양소 부족을 보충하며, 소화가 잘 되는 성분으로 노령 반려동물의 건강을 지원합니다. 맛있는 맛과 부드러운 질감으로 쉽게 섭취할 수 있으며, 반려동물의 활력을 유지하는 데 도움을 줍니다.",
에티펫 시작부터칫솔,3300,3300,0,1,반려동물의 칫솔질을 시작하는 데 적합한 에티펫 제품,Z,3,z,101,Z3z101,"반려동물의 구강 건강 관리를 위한 필수 아이템, 에티펫 시작부터칫솔! 부드러운 브리스틀이 반려동물의 치아와 잇몸을 자극 없이 깨끗하게 닦아줍니다. 편안한 그립과 효율적인 디자인으로 초보자도 쉽게 사용할 수 있으며, 정기적인 칫솔질로 구강 질환을 예방하고 상쾌한 입냄새를 유지할 수 있습니다.",
포켄스 덴티페어리 디스펜서 SS 124개입,35000,35000,0,124,대형견을 위한 덴탈케어 디스펜서 124개 포함,D,2,z,102,D2z102,"포켄스 덴티페어리 디스펜서 SS 124개입은 반려동물의 구강 건강을 효과적으로 관리할 수 있는 치실껌입니다. 소형 사이즈로 설계되어 작은 입에도 맞으며, 치아 사이의 플라크와 타르타르를 자연스럽게 제거해 줍니다. 디스펜서와 함께 제공되어 간편하게 사용할 수 있으며, 상쾌한 입냄새와 건강한 치아를 유지할 수 있습니다.",
츄르비 닭가슴살&구운가다랑어 4개입,3500,3500,0,4,닭가슴살과 구운 가다랑어로 만든 츄르비 간식 4개 포함,C,2,z,103,C2z103,"츄르비 닭가슴살&구운가다랑어 4개입으로 반려동물에게 맛과 영양을 동시에! 신선한 닭가슴살과 구운 가다랑어가 조화롭게 어우러져 부드럽고 풍부한 맛을 제공합니다. 고단백 간식으로 반려동물의 에너지를 채우고, 자연 재료로 만들어져 안전하고 건강하게 급여할 수 있습니다.",
허즈 강아지 알러지 눈물사료 칠면조 908g,53000,53000,0,908,강아지 알러지를 위한 칠면조 맛 눈물 사료 908g,D,1,z,104,D1z104,"허즈 강아지 알러지 눈물사료 칠면조 908g은 민감한 피부와 알러지에 도움이 되는 사료입니다. 칠면조 고기와 소화가 잘 되는 성분으로 제작되어 눈물 자국과 피부 자극을 최소화하며, 균형 잡힌 영양으로 건강한 식사를 제공합니다. 908g의 넉넉한 용량으로 지속적으로 사용할 수 있어 경제적입니다.",
몰리스 쉬야응가 1회용 패드 L 50매,13900,13900,0,50,대형견을 위한 쉬야응가 1회용 패드 50매,D,1,z,105,D1z105,"몰리스 쉬야응가 1회용 패드 L 50매로 깔끔한 배변 관리를! 대형 사이즈의 이 패드는 흡수력이 뛰어나며, 냄새를 효과적으로 차단해 줍니다. 다양한 용도로 사용 가능한 이 패드는 간편하게 교체할 수 있어 청결한 환경을 유지하는 데 도움을 줍니다. 50매로 넉넉한 양을 제공하여 실용적입니다.",
건강백서 야들야들 소고기 120g,7150,7150,0,120,소고기를 얇게 썰어 강아지에게 적합한 건강백서 간식 120g,D,2,z,106,D2z106,"반려동물의 간식 시간을 더욱 특별하게 만들어 줄 건강백서 야들야들 소고기 120g! 부드러운 소고기 조각이 고단백 간식으로 반려동물의 입맛을 사로잡습니다. 신선한 재료로 만들어져 영양이 풍부하며, 씹기 좋은 식감으로 치아 건강을 돕습니다. 간편한 급여로 훈련이나 보상 간식으로 적합합니다.",
시저 흰살생선과 야채 캔 3개입,6200,6200,0,3,시저의 흰살 생선과 야채가 들어간 캔 3개 포함,D,1,j,107,D1j107,"시저 흰살생선과 야채 캔 3개입으로 반려동물의 식사를 더욱 풍성하게! 흰살생선과 신선한 야채가 조화를 이루는 이 캔은 부드럽고 맛있는 식감을 제공합니다. 고양이의 식욕을 자극하며, 필수 영양소를 골고루 섭취할 수 있습니다. 3개입으로 실용적이며 간편한 급여가 가능합니다.",
"60days 치킨,연어,참치 츄르 콤보 60개입",22000,22000,0,60,"치킨, 연어, 참치 세 가지 맛이 들어간 60일치 츄르 콤보 60개 포함",C,2,z,108,C2z108,"60days 치킨, 연어, 참치 츄르 콤보 60개입으로 다양한 맛의 즐거움을 반려동물에게! 치킨, 연어, 참치 세 가지 맛을 한 번에 즐길 수 있어 반려동물의 입맛을 만족시킵니다. 각 츄르는 고단백이며 자연 재료로 만들어져 건강하고 맛있는 간식으로 적합합니다. 60개입으로 넉넉한 양을 제공하여 실용적입니다.",
더독 수제 삼계탕,3500,3500,0,150,수제로 만든 삼계탕을 반려견에게 제공하는 더독 제품,D,1,j,109,D1j109,"더독 수제 삼계탕으로 반려동물에게 특별한 한 끼를! 자연 재료를 사용하여 정성껏 만든 삼계탕으로, 닭고기와 영양 가득한 재료가 포함되어 있습니다. 풍부한 맛과 영양이 반려동물의 건강을 지원하며, 소화가 잘 되어 민감한 반려동물도 안심하고 먹을 수 있습니다. 수제 방식으로 더욱 신선하고 건강한 식사를 제공합니다.",
츄르비 닭가슴살&구운닭가슴살 4개입,3500,3500,0,4,다양한 맛의 닭가슴살 4개 세트,C,2,z,110,C2z110,"츄르비 닭가슴살&구운닭가슴살 4개입으로 반려동물에게 맛있는 간식을 제공하세요! 신선한 닭가슴살과 구운 닭가슴살이 조화를 이루어 고단백 간식이 됩니다. 부드럽고 맛있는 식감으로 반려동물의 입맛을 사로잡으며, 자연 재료로 만들어져 안전하고 건강하게 급여할 수 있습니다.",
건강백서 얇게 썰어 먹기 좋은 닭고기 120g,8030,8030,0,120,건강한 닭고기를 얇게 썰어 먹기 좋은 제품,D,2,z,111,D2z111,"건강백서 얇게 썰어 먹기 좋은 닭고기 120g으로 반려동물에게 맛있고 건강한 간식을! 신선한 닭고기를 얇게 썰어 간편하게 급여할 수 있으며, 부드러운 식감과 풍부한 단백질이 반려동물의 건강을 지원합니다. 자연 재료로 만들어져 인공 첨가물 없이 안전하게 급여할 수 있으며, 훈련 보상이나 일상 간식으로 적합합니다.",
THINK YOUR DOG TEETH 소가죽 우유껌 6P,6900,6900,0,6,강아지 이를 위한 소가죽 우유껌 세트,D,2,z,112,D2z112,"THINK YOUR DOG TEETH 소가죽 우유껌 6P로 반려견의 치아 건강을 챙기세요! 소가죽과 우유로 만들어진 이 껌은 씹는 동안 치아 사이의 플라크와 타르타르를 효과적으로 제거해주며, 입냄새를 상쾌하게 유지해줍니다. 씹기 좋은 질감과 맛으로 반려견이 즐겁게 간식 시간을 보낼 수 있습니다. 6P로 넉넉하게 사용할 수 있어 경제적입니다.",
비타크래프트 캣스틱 코어피쉬 3개입,2200,2200,0,3,코어피쉬를 주재료로 한 캣스틱,C,2,z,113,C2z113,"비타크래프트 캣스틱 코어피쉬 3개입으로 고양이에게 특별한 간식을! 코어피쉬의 깊고 진한 맛이 고양이의 입맛을 사로잡으며, 부드럽고 씹기 좋은 식감으로 간편하게 제공할 수 있습니다. 영양가가 높고 자연 재료로 만들어져 건강하게 먹일 수 있으며, 간식으로 또는 훈련 보상으로 적합합니다.",
포켄스 덴티페어리 디스펜서 SS 124개입,35000,32000,0.09,124,124개의 디스펜서로 구성된 덴티페어리,D,2,z,114,D2z114,"포켄스 덴티페어리 디스펜서 SS 124개입으로 반려동물의 치아 관리를 간편하게! 이 치실껌은 소형 사이즈로, 작은 입에도 잘 맞으며, 플라크와 타르타르를 효과적으로 제거해 줍니다. 디스펜서와 함께 제공되어 사용이 편리하며, 상쾌한 입냄새와 건강한 치아를 유지할 수 있습니다.",
몰리스 체다치즈볼 (210g),5700,5700,0,210,맛있는 체다치즈볼,D,2,z,115,D2z115,"몰리스 체다치즈볼 (210g)로 반려동물의 간식 시간을 더욱 즐겁게! 풍부한 체다 치즈 맛이 반려동물의 입맛을 사로잡으며, 바삭한 식감이 씹는 재미를 더해줍니다. 건강한 재료로 만들어져 영양가가 높으며, 간식이나 훈련 보상으로 적합한 선택입니다. 210g의 넉넉한 양으로 오랫동안 사용 가능합니다.",
에티펫 얼룩냄새깨끗 청소티슈,3000,3000,0,50,얼룩과 냄새를 깨끗하게 청소하는 청소티슈,C,3,z,116,C3z116,"에티펫 얼룩냄새깨끗 청소티슈로 집안의 청결을 유지하세요! 이 청소티슈는 반려동물의 얼룩과 냄새를 효과적으로 제거하며, 순한 성분으로 안전하게 사용할 수 있습니다. 빠르고 간편하게 청소할 수 있어 바쁜 일상에서도 실용적이며, 세심한 관리가 필요한 공간에서도 유용합니다.",
서울우유 아이펫밀크 180ml x 3팩,5500,5500,0,540,반려동물을 위한 아이펫밀크 3팩 세트,Z,2,z,117,Z2z117,"서울우유 아이펫밀크 180ml x 3팩으로 반려동물의 맛있는 영양 간식! 고소하고 신선한 우유로 만들어진 이 밀크는 반려동물에게 필수 영양소를 보충하며, 소화가 잘 되는 성분으로 건강을 지원합니다. 180ml의 소형 팩으로 실용적이며, 3팩으로 넉넉하게 사용할 수 있습니다.",
국민가격 NTC 돼지귀 슬라이스 300g,13000,13000,0,300,저렴한 가격에 구매할 수 있는 돼지귀 슬라이스,D,2,z,118,D2z118,"국민가격 NTC 돼지귀 슬라이스 300g으로 반려동물에게 맛있는 간식을 제공하세요! 돼지귀를 슬라이스하여 씹는 재미와 함께 단백질을 보충할 수 있습니다. 바삭한 식감이 치아 건강을 돕고, 간식으로 반려동물의 식욕을 자극합니다. 300g의 넉넉한 용량으로 오랫동안 즐길 수 있습니다.",
포켄스 뉴트리션트릿 피부&피모 240g,18000,12600,0.3,240,피부와 피모에 좋은 영양소가 들어간 뉴트리션트릿,D,2,z,119,D2z119,"포켄스 뉴트리션트릿 피부&피모 240g으로 반려동물의 피부와 모질을 건강하게 관리하세요! 특수 영양소가 포함된 이 간식은 반려동물의 피부와 털을 건강하게 유지하는 데 도움을 주며, 맛있게 먹을 수 있습니다. 240g의 넉넉한 양으로 지속적으로 급여할 수 있어 실용적입니다.",
